"country","no_studysites","p_years_miss","p_years_pres","no_records","no_species","no_genus","p_spec","p_gen","p_cors"
"Austria",1,79.2,20.8,707,141,124,57.2842998585573,29.8444130127298,12.8712871287129
"Belgium",1,39.6,60.4,18148,4,98,0.369186687238263,59.2737491734626,40.3570641392991
"Bulgaria",3,50.9,49.1,1353,149,134,37.1766444937177,36.5114560236511,26.3118994826312
"Cyprus",1,81.1,18.9,362,1,1,0,0,100
"CzechRepublic",1,84.9,15.1,421,91,115,61.2826603325416,31.5914489311164,7.12589073634204
"Denmark",1,45.3,54.7,144406,558,378,58.9823137542761,26.1554229048654,14.8622633408584
"Estonia",1,77.4,22.6,2790,144,138,70.573476702509,18.0286738351254,11.3978494623656
"Finland",1,71.7,28.3,4747,69,87,53.6128080893196,33.4105751000632,12.9766168106172
"France",3,28.3,71.7,125560,102,129,1.36508442179038,1.60640331315706,97.0285122650526
"Germany",7,3.8,96.2,32983,503,313,72.940605766607,18.4579935118091,8.60140072158385
"Hungary",1,71.7,28.3,21104,528,336,72.0858605003791,13.2155041698256,14.6986353297953
"Ireland",1,67.9,32.1,3946,82,71,59.7567156614293,6.89305625950329,33.3502280790674
"Italy",2,81.1,18.9,743,2,19,1.07671601615074,31.4939434724092,67.4293405114401
"Latvia",1,52.8,47.2,2893,208,168,71.2063601797442,15.5202212236433,13.2734185966125
"Luxemburg",1,81.1,18.9,9574,108,166,26.8748694380614,46.4696051806977,26.6555253812409
"Netherlands",2,24.5,75.5,36393,546,383,62.1987744895996,30.8465913774627,6.95463413293765
"Norway",3,52.8,47.2,15406,135,110,58.3733610281708,15.7081656497469,25.9184733220823
"Portugal",1,49.1,50.9,1133,14,45,15.7987643424537,33.8923212709621,50.3089143865843
"Spain",4,37.7,62.3,91003,174,255,10.7348109402987,24.3002977923805,64.9648912673209
"Sweden",2,52.8,47.2,53430,324,287,54.3402582818641,20.8740408010481,24.7857009170878
"Switzerland",1,84.9,15.1,173,39,51,54.3352601156069,26.0115606936416,19.6531791907514
"UK",4,50.9,49.1,160421,571,352,50.1573983456031,13.2108639143254,36.6317377400714
